geo_id,lakeMI_qmile,river_qmile,Rail_emile,MajorRd_qmile
1400000US17031010100,1.0,0.0,1.0,0.0
1400000US17031010201,0.0,0.0,1.0,0.0
1400000US17031010202,0.0,0.0,1.0,0.0
1400000US17031010300,1.0,0.0,0.0,0.0
1400000US17031010400,1.0,0.0,0.0,0.0
1400000US17031010501,1.0,0.0,0.0,0.0
1400000US17031010502,1.0,0.0,0.0,0.0
1400000US17031010503,1.0,0.0,0.0,0.0
1400000US17031010600,1.0,0.0,0.0,0.0
1400000US17031010701,0.0,0.0,1.0,0.0
1400000US17031010702,0.0,0.0,1.0,0.0
1400000US17031020100,0.0,0.0,0.0,0.0
1400000US17031020200,0.0,0.0,0.0,0.0
1400000US17031020301,0.0,1.0,0.0,0.0
1400000US17031020302,0.0,0.0,0.0,0.0
1400000US17031020400,0.0,0.0,0.0,0.0
1400000US17031020500,0.0,0.0,1.0,0.0
1400000US17031020601,0.0,1.0,0.0,0.0
1400000US17031020602,0.0,0.0,0.0,0.0
1400000US17031020701,0.0,1.0,0.0,0.0
1400000US17031020702,0.0,1.0,0.0,0.0
1400000US17031020801,0.0,0.0,0.0,0.0
1400000US17031020802,0.0,0.0,0.0,0.0
1400000US17031020901,0.0,0.0,0.0,0.0
1400000US17031020902,0.0,0.0,1.0,0.0
1400000US17031030101,1.0,0.0,0.0,0.0
1400000US17031030102,1.0,0.0,0.0,0.0
1400000US17031030103,1.0,0.0,0.0,0.0
1400000US17031030104,1.0,0.0,0.0,0.0
1400000US17031030200,1.0,0.0,0.0,0.0
1400000US17031030300,0.0,0.0,1.0,0.0
1400000US17031030400,0.0,0.0,1.0,0.0
1400000US17031030500,0.0,0.0,0.0,0.0
1400000US17031030601,1.0,0.0,0.0,1.0
1400000US17031030603,1.0,0.0,0.0,1.0
1400000US17031030604,1.0,0.0,0.0,1.0
1400000US17031030701,1.0,0.0,0.0,1.0
1400000US17031030702,1.0,0.0,0.0,1.0
1400000US17031030703,1.0,0.0,0.0,1.0
